,station_name,date,entry_exit,tapcount,DLR,tube,NR,EL,Overground
303,Archway,2019-02-28,Exit,339310,False,True,False,False,False
304,Archway,2019-01-31,Exit,344429,False,True,False,False,False
305,Archway,2019-07-31,Exit,354521,False,True,False,False,False
306,Archway,2019-06-30,Exit,351867,False,True,False,False,False
307,Archway,2019-03-31,Exit,377288,False,True,False,False,False
308,Archway,2019-05-31,Exit,355217,False,True,False,False,False
309,Archway,2019-11-30,Exit,373695,False,True,False,False,False
310,Archway,2019-10-31,Exit,386192,False,True,False,False,False
311,Archway,2019-09-30,Exit,342988,False,True,False,False,False
312,Arnos Grove,2019-04-30,Entry,186502,False,True,False,False,False
313,Arnos Grove,2019-08-31,Entry,177121,False,True,False,False,False
314,Arnos Grove,2019-12-31,Entry,187258,False,True,False,False,False
315,Arnos Grove,2019-02-28,Entry,179688,False,True,False,False,False
316,Arnos Grove,2019-01-31,Entry,181537,False,True,False,False,False
317,Arnos Grove,2019-07-31,Entry,199751,False,True,False,False,False
318,Arnos Grove,2019-06-30,Entry,186950,False,True,False,False,False
319,Arnos Grove,2019-03-31,Entry,202957,False,True,False,False,False
320,Arnos Grove,2019-05-31,Entry,193000,False,True,False,False,False
321,Arnos Grove,2019-11-30,Entry,198735,False,True,False,False,False
322,Arnos Grove,2019-10-31,Entry,201495,False,True,False,False,False
323,Arnos Grove,2019-09-30,Entry,188674,False,True,False,False,False
324,Arnos Grove,2019-04-30,Exit,174289,False,True,False,False,False
325,Arnos Grove,2019-08-31,Exit,164583,False,True,False,False,False
326,Arnos Grove,2019-12-31,Exit,173562,False,True,False,False,False
327,Arnos Grove,2019-02-28,Exit,167235,False,True,False,False,False
328,Arnos Grove,2019-01-31,Exit,172095,False,True,False,False,False
329,Arnos Grove,2019-07-31,Exit,185024,False,True,False,False,False
330,Arnos Grove,2019-06-30,Exit,173267,False,True,False,False,False
331,Arnos Grove,2019-03-31,Exit,187731,False,True,False,False,False
332,Arnos Grove,2019-05-31,Exit,178538,False,True,False,False,False
333,Arnos Grove,2019-11-30,Exit,184419,False,True,False,False,False
334,Arnos Grove,2019-10-31,Exit,185262,False,True,False,False,False
335,Arnos Grove,2019-09-30,Exit,171717,False,True,False,False,False
336,Arsenal,2019-04-30,Entry,141837,False,True,False,False,False
337,Arsenal,2019-08-31,Entry,125237,False,True,False,False,False
338,Arsenal,2019-12-31,Entry,136441,False,True,False,False,False
339,Arsenal,2019-02-28,Entry,134537,False,True,False,False,False
340,Arsenal,2019-01-31,Entry,143150,False,True,False,False,False
341,Arsenal,2019-07-31,Entry,136444,False,True,False,False,False
342,Arsenal,2019-06-30,Entry,123989,False,True,False,False,False
343,Arsenal,2019-03-31,Entry,143087,False,True,False,False,False
344,Arsenal,2019-05-31,Entry,137871,False,True,False,False,False
345,Arsenal,2019-11-30,Entry,145850,False,True,False,False,False
346,Arsenal,2019-10-31,Entry,158782,False,True,False,False,False
347,Arsenal,2019-09-30,Entry,129859,False,True,False,False,False
348,Arsenal,2019-04-30,Exit,136724,False,True,False,False,False
349,Arsenal,2019-08-31,Exit,117108,False,True,False,False,False
