station_id,station_name,Longitude,Latitude,Borough
mil485,Mile End,-0.032666084,51.52531092,Tower Hamlets
mil113,Mill Hill East,-0.20989571,51.6083163,Barnet
moo476,Moor Park,-0.432913016,51.62992996,Three Rivers
moo191,Moorgate,-0.089017687,51.518437,City of London
mor587,Morden,-0.19485198,51.40218564,Merton
mor128,Mornington Crescent,-0.138744349,51.53436199,Camden
nea517,Neasden,-0.250115042,51.55462731,Brent
new387,Newbury Park,0.090303158,51.57563851,Redbridge
nor176,North Acton,-0.259729524,51.523432,Ealing
nor436,North Ealing,-0.288993548,51.51762182,Ealing
nor156,North Greenwich,0.003586259,51.50025516,Greenwich
nor525,North Harrow,-0.362632986,51.58463071,Harrow
nor238,North Wembley,-0.303948214,51.5623958,Brent
nor515,Northfields,-0.315064813,51.50049116,Ealing
nor285,Northolt,-0.368440588,51.5482123,Ealing
nor535,Northwick Park,-0.318199386,51.57850817,Brent
nor939,Northwood,-0.423837776,51.61121292,Hillingdon
nor477,Northwood Hills,-0.409311348,51.60080198,Hillingdon
not741,Notting Hill Gate,-0.195921616,51.50937502,Kensington and Chelsea
oak920,Oakwood,-0.131853539,51.64763775,Enfield
old535,Old Street,-0.087622957,51.52558133,Islington
ost757,Osterley,-0.352096089,51.48121624,Hounslow
ova137,Oval,-0.113321075,51.48141242,Lambeth
oxf732,Oxford Circus,-0.14083617,51.51522317,City of Westminster
pad679,Paddington,-0.17573675,51.5153935,City of Westminster
par533,Park Royal,-0.284928913,51.52683356,Ealing
par284,Parsons Green,-0.20112449,51.47495983,Hammersmith and Fulham
per296,Perivale,-0.323070416,51.53634129,Ealing
pic597,Piccadilly Circus,-0.133711596,51.50969653,City of Westminster
pim803,Pimlico,-0.133108257,51.48955265,City of Westminster
pin563,Pinner,-0.381223782,51.59236106,Harrow
pla177,Plaistow,0.017780642,51.53128837,Newham
pre971,Preston Road,-0.294972007,51.57210325,Brent
put418,Putney Bridge,-0.209365414,51.467865,Hammersmith and Fulham
que498,Queen's Park,-0.2048,51.5346,Brent
que786,Queensbury,-0.286331593,51.59388251,Brent
que326,Queensway,-0.187419901,51.51044893,City of Westminster
rav545,Ravenscourt Park,-0.23596923,51.4940676,Hammersmith and Fulham
ray439,Rayners Lane,-0.371060806,51.57539613,Harrow
red310,Redbridge,0.045394044,51.57636699,Redbridge
reg997,Regent's Park,-0.1448,51.5239,City of Westminster
ric229,Richmond,-0.301739129,51.46323239,Richmond
ric259,Rickmansworth,-0.473684571,51.64032224,Three Rivers
rod582,Roding Valley,0.044026207,51.61695652,Epping Forest
roy707,Royal Oak,-0.188823672,51.51829405,City of Westminster
rui649,Ruislip,-0.421234916,51.57216123,Hillingdon
rui230,Ruislip Gardens,-0.409294101,51.55995951,Hillingdon
rui252,Ruislip Manor,-0.412849344,51.5734509,Hillingdon
rus425,Russell Square,-0.124590197,51.52301284,Camden
sev668,Seven Sisters,-0.072466823,51.58336204,Haringey
she795,Shepherd's Bush (Cen),-0.2196,51.5049,Hammersmith and Fulham
she830,Shepherd's Bush (H&C),-0.2269,51.5058,Hammersmith and Fulham
slo748,Sloane Square,-0.156488856,51.49235951,Kensington and Chelsea
sna776,Snaresbrook,0.021463928,51.58089131,Redbridge
sou366,South Ealing,-0.307040239,51.50164352,Ealing
sou332,South Harrow,-0.351893964,51.56467959,Harrow
sou978,South Kensington,-0.173923021,51.49407108,Kensington and Chelsea
sou601,South Kenton,-0.308142972,51.57104395,Brent
sou195,South Ruislip,-0.399115901,51.55688965,Hillingdon
sou190,South Wimbledon,-0.191974544,51.4153604,Merton
sou563,South Woodford,0.027943078,51.59155266,Redbridge
sou724,Southfields,-0.206609383,51.44488298,Wandsworth
sou430,Southgate,-0.127770046,51.63237564,Enfield
sou122,Southwark,-0.105794939,51.50385345,Southwark
st.541,St. James's Park,-0.133878754,51.49960958,City of Westminster
st.961,St. John's Wood,-0.174,51.5344,City of Westminster
st.916,St. Paul's,-0.0978,51.5143,City of London
sta233,Stamford Brook,-0.245246306,51.49444957,Hammersmith and Fulham
sta570,Stanmore,-0.303099288,51.61967295,Harrow
ste637,Stepney Green,-0.047382523,51.52199576,Tower Hamlets
sto172,Stockwell,-0.122846303,51.47215906,Lambeth
sto858,Stonebridge Park,-0.275400437,51.54398611,Brent
str424,Stratford,-0.003751641,51.54169258,Newham
sud926,Sudbury Hill,-0.336392109,51.55733901,Ealing
sud623,Sudbury Town,-0.31634348,51.55139693,Brent
swi969,Swiss Cottage,-0.175626603,51.54303456,Camden
tem258,Temple,-0.11372575,51.51104042,City of Westminster
the803,Theydon Bois,0.102890737,51.67255225,Epping Forest
too203,Tooting Bec,-0.159700491,51.4358378,Wandsworth
too477,Tooting Broadway,-0.168684526,51.42704887,Wandsworth
tot239,Tottenham Court Road,-0.131110438,51.51621066,City of Westminster
tot354,Tottenham Hale,-0.060187822,51.58799768,Haringey
tot295,Totteridge & Whetstone,-0.1795,51.6309,Barnet
tow831,Tower Hill,-0.076701198,51.51039415,Tower Hamlets
tuf494,Tufnell Park,-0.137742174,51.55644058,Islington
tur796,Turnham Green,-0.254524564,51.49518153,Hounslow
tur583,Turnpike Lane,-0.102805041,51.59035797,Haringey
upm316,Upminster,0.251400805,51.55876377,Havering
upm394,Upminster Bridge,0.234541892,51.55771919,Havering
upn508,Upney,0.101531745,51.53840582,Barking and Dagenham
upt277,Upton Park,0.03454184,51.53662826,Newham
uxb982,Uxbridge,-0.477101546,51.54645373,Hillingdon
vau716,Vauxhall,-0.123829952,51.4857356,Lambeth
vic449,Victoria,-0.143920705,51.49642372,City of Westminster
wal463,Walthamstow Central,-0.019940545,51.58301808,Waltham Forest
wan258,Wanstead,0.028760472,51.5749022,Redbridge
war141,Warren Street,-0.138278331,51.52457976,Camden
war341,Warwick Avenue,-0.182953291,51.52310414,City of Westminster
wat559,Waterloo,-0.113259251,51.50314646,Lambeth
wat575,Watford,-0.417269997,51.65760442,Watford
wem922,Wembley Central,-0.296392322,51.5518643,Brent
wem863,Wembley Park,-0.279242548,51.563322,Brent
wes265,West Acton,-0.280657171,51.51776969,Ealing
wes671,West Brompton,-0.19553881,51.4873286,Kensington and Chelsea
wes486,West Finchley,-0.188917107,51.60926242,Barnet
wes954,West Ham,0.005317394,51.52852553,Newham
wes259,West Hampstead,-0.191126583,51.54747402,Camden
wes193,West Harrow,-0.35384669,51.57892366,Harrow
wes321,West Kensington,-0.206203692,51.49010903,Hammersmith and Fulham
wes608,West Ruislip,-0.437860134,51.56958716,Hillingdon
wes192,Westbourne Park,-0.200882513,51.52098851,City of Westminster
wes973,Westminster,-0.125002078,51.50140139,City of Westminster
whi943,White City,-0.224631929,51.51223207,Hammersmith and Fulham
whi824,Whitechapel,-0.059420485,51.51958769,Tower Hamlets
wil667,Willesden Green,-0.222407601,51.54937292,Brent
wil361,Willesden Junction,-0.24390914,51.53223357,Brent
wim269,Wimbledon,-0.206662833,51.42110751,Merton
wim611,Wimbledon Park,-0.199186273,51.43458063,Merton
woo472,Wood Green,-0.109526589,51.59745355,Haringey
