match_id,player_name,sets,balls_bowled,runs_conceded,how_many_out,extras
151,EL Lamb,1.0,5,20,0,0
151,FMK Morris,2.0,10,19,0,0
151,GL Adams,4.0,20,19,1,0
151,K Moore,3.0,15,23,0,0
151,KE Bryce,3.4,17,20,2,0
151,LK Bell,4.0,22,15,1,2
151,M Gaur,3.0,16,23,0,1
151,PC Graham,1.0,5,10,0,0
152,AC Kerr,3.2,16,13,4,0
152,C Pavely,3.0,16,29,1,3
152,CE Dean,3.0,15,14,2,0
152,DR Gibson,2.0,11,11,2,1
152,EA Burns,3.0,16,26,1,1
152,EL Arlott,4.0,21,25,1,1
152,IECM Wong,1.0,7,16,0,3
152,KA Levick,4.0,20,29,1,0
152,L Filer,1.0,7,22,0,4
152,S Glenn,4.0,20,22,2,0
152,S Munro,1.0,6,8,0,1
152,SFM Devine,2.0,10,21,1,0
152,T Flintoff,3.0,16,23,0,1
152,TG Norris,1.0,5,8,0,0
153,AN Davidson-Richards,2.0,10,10,0,0
153,G Ballinger,4.0,20,24,1,0
153,G Wareham,3.0,15,16,0,0
153,KL Cross,3.0,16,34,0,1
153,LF Higham,3.0,15,16,1,0
154,A Shrubsole,3.0,16,18,1,1
154,AN Davidson-Richards,4.0,20,31,0,0
154,CL Tryon,4.0,21,28,2,1
154,G Ballinger,4.0,20,28,1,0
154,G Wareham,4.0,20,28,0,0
154,GL Adams,4.0,21,21,0,1
154,K Moore,4.0,20,15,3,0
154,KL Cross,4.0,20,21,4,0
154,LF Higham,4.0,21,31,1,2
154,LK Bell,3.8,20,21,4,1
155,C Overton,4.0,20,33,2,0
155,CJ Jordan,4.0,20,18,4,0
155,DR Sams,3.8,20,26,4,1
155,GHS Garton,3.0,15,17,1,0
155,Imad Wasim,3.0,15,15,2,0
155,JK Fuller,2.0,10,18,0,0
155,L Gregory,3.0,16,19,3,1
155,L Wood,4.0,21,26,1,1
155,M Carter,2.0,10,15,0,0
155,Rehan Ahmed,3.0,16,17,0,1
155,SJ Cook,4.0,20,23,0,0
155,TS Mills,4.0,21,24,1,1
156,DA Payne,2.0,10,27,0,0
156,DJ Willey,2.0,11,17,2,2
156,Haris Rauf,2.0,10,15,0,0
156,J Little,2.0,13,22,2,4
156,JC Tongue,2.0,12,25,0,2
156,PI Walter,1.0,6,13,0,1
156,Shaheen Shah Afridi,2.0,10,24,2,0
156,TW Hartley,1.0,5,7,1,0
156,Usama Mir,2.0,10,22,0,0
157,AAP Atkinson,3.0,16,22,1,1
157,DJ Mitchell,1.0,5,5,0,0
157,DJ Worrall,4.0,21,23,2,1
157,JA Thompson,4.0,21,23,2,1
157,LA Dawson,4.0,20,29,0,0
157,MJJ Critchley,2.0,10,13,1,0
157,NA Sowter,4.0,22,34,3,2
157,NT Ellis,3.8,21,31,2,4
157,RS Bopara,1.0,5,8,0,0
157,SM Curran,4.0,22,31,3,2
157,SP Narine,4.0,20,14,2,0
157,TK Curran,4.0,20,22,1,0
157,ZJ Chappell,1.0,5,8,0,0
158,AU Rashid,3.4,17,14,1,0
158,BA Carse,1.0,5,16,0,0
158,D Wiese,2.0,12,23,0,3
158,MW Short,2.0,11,9,2,1
158,RJW Topley,2.0,11,7,1,1
158,WD Parnell,2.0,10,14,1,0
159,C Overton,4.0,21,41,2,5
159,DA Payne,4.0,20,27,1,0
159,DJ Willey,4.0,20,40,1,0
159,GHS Garton,3.0,15,19,1,0
159,Haris Rauf,4.0,21,27,4,2
159,JK Fuller,4.0,21,26,0,1
159,RE van der Merwe,4.0,20,33,1,0
159,Rehan Ahmed,4.0,20,28,2,0
159,Shaheen Shah Afridi,4.0,20,16,1,0
159,TH David,1.0,5,7,0,0
159,TS Mills,4.0,22,23,2,2
160,DJ Worrall,3.0,15,15,1,0
160,JA Thompson,2.0,10,28,0,0
160,LA Dawson,4.0,20,27,1,0
160,MJJ Critchley,2.0,12,30,1,6
160,NT Ellis,3.0,16,25,0,2
160,RS Bopara,2.0,11,13,2,2
161,AU Rashid,4.0,20,29,1,0
161,BA Carse,1.0,5,5,0,0
161,C Overton,3.0,15,23,0,0
161,CF Parkinson,4.0,21,20,0,1
161,D Wiese,2.0,10,19,0,0
161,GHS Garton,4.0,24,39,0,6
161,JK Fuller,2.0,11,39,0,1
161,JL du Plooy,1.0,6,16,0,2
161,MW Short,1.0,5,8,0,0
161,RJW Topley,4.0,22,30,3,2
161,Rehan Ahmed,4.0,20,21,1,0
161,TH David,2.0,10,25,0,0
161,TS Mills,4.0,22,36,2,2
161,WD Parnell,4.0,20,30,1,0
162,AAP Atkinson,4.0,20,26,3,0
