match_id,date,home_team,away_team,city,venue,competition,toss_winner,toss_decision,bat_first,winner,by
1,2021-07-22,Manchester Originals,Oval Invincibles,London,Kennington Oval,male,Manchester Originals,field,Oval Invincibles,Oval Invincibles,9 runs
2,2021-07-23,Birmingham Phoenix,London Spirit,Birmingham,Edgbaston,male,Birmingham Phoenix,field,London Spirit,Birmingham Phoenix,3 wickets
3,2021-07-24,Trent Rockets,Southern Brave,Nottingham,Trent Bridge,male,Southern Brave,bat,Southern Brave,Trent Rockets,9 wickets
4,2021-07-24,Northern Superchargers,Welsh Fire,Leeds,Headingley,male,Northern Superchargers,field,Welsh Fire,Welsh Fire,5 runs
5,2021-07-25,Manchester Originals,Birmingham Phoenix,Manchester,Old Trafford,male,Birmingham Phoenix,bat,Birmingham Phoenix,Manchester Originals,6 wickets
6,2021-07-26,Trent Rockets,Northern Superchargers,Nottingham,Trent Bridge,male,Northern Superchargers,bat,Northern Superchargers,Trent Rockets,2 wickets
7,2021-07-27,Southern Brave,Welsh Fire,Cardiff,Sophia Gardens,male,Southern Brave,field,Welsh Fire,Welsh Fire,18 runs
8,2021-07-29,London Spirit,Trent Rockets,London,Lord's,male,London Spirit,field,Trent Rockets,Trent Rockets,7 runs
9,2021-07-30,Southern Brave,Birmingham Phoenix,Southampton,The Rose Bowl,male,Southern Brave,field,Birmingham Phoenix,Southern Brave,4 wickets
10,2021-07-31,Manchester Originals,Welsh Fire,Cardiff,Sophia Gardens,male,Welsh Fire,bat,Welsh Fire,Manchester Originals,7 wickets
11,2021-07-31,Northern Superchargers,Oval Invincibles,Leeds,Headingley,male,Oval Invincibles,bat,Oval Invincibles,Northern Superchargers,6 wickets
12,2021-08-01,Birmingham Phoenix,Trent Rockets,Birmingham,Edgbaston,male,Birmingham Phoenix,field,Trent Rockets,Birmingham Phoenix,6 wickets
13,2021-08-01,London Spirit,Southern Brave,London,Lord's,male,London Spirit,field,Southern Brave,Southern Brave,4 runs
14,2021-08-02,Oval Invincibles,Welsh Fire,London,Kennington Oval,male,Oval Invincibles,field,Welsh Fire,Oval Invincibles,6 wickets
15,2021-08-03,London Spirit,Northern Superchargers,London,Lord's,male,Northern Superchargers,bat,Northern Superchargers,Northern Superchargers,63 runs
16,2021-08-04,Birmingham Phoenix,Oval Invincibles,Birmingham,Edgbaston,male,Birmingham Phoenix,field,Oval Invincibles,Birmingham Phoenix,6 wickets
17,2021-08-05,Southern Brave,Manchester Originals,Manchester,Old Trafford,male,Southern Brave,field,Manchester Originals,,no result
18,2021-08-06,Trent Rockets,Welsh Fire,Cardiff,Sophia Gardens,male,Trent Rockets,field,Welsh Fire,Trent Rockets,6 wickets
19,2021-08-07,Southern Brave,Northern Superchargers,Southampton,The Rose Bowl,male,Northern Superchargers,bat,Northern Superchargers,Southern Brave,5 wickets
20,2021-08-08,Trent Rockets,Oval Invincibles,London,Kennington Oval,male,Trent Rockets,field,Oval Invincibles,Oval Invincibles,9 runs
21,2021-08-09,Welsh Fire,Birmingham Phoenix,Birmingham,Edgbaston,male,Welsh Fire,field,Birmingham Phoenix,Birmingham Phoenix,93 runs
22,2021-08-10,Manchester Originals,London Spirit,Manchester,Old Trafford,male,London Spirit,bat,London Spirit,London Spirit,6 runs
23,2021-08-11,Southern Brave,Welsh Fire,Southampton,The Rose Bowl,male,Southern Brave,field,Welsh Fire,Southern Brave,8 wickets
24,2021-08-12,Manchester Originals,Northern Superchargers,Leeds,Headingley,male,Manchester Originals,field,Northern Superchargers,Northern Superchargers,69 runs
25,2021-08-13,Trent Rockets,Birmingham Phoenix,Nottingham,Trent Bridge,male,Trent Rockets,field,Birmingham Phoenix,Birmingham Phoenix,16 runs
26,2021-08-14,Oval Invincibles,London Spirit,London,Kennington Oval,male,London Spirit,bat,London Spirit,Oval Invincibles,2 wickets
27,2021-08-15,Trent Rockets,Manchester Originals,Nottingham,Trent Bridge,male,Manchester Originals,bat,Manchester Originals,Trent Rockets,7 wickets
28,2021-08-16,Southern Brave,Oval Invincibles,Southampton,The Rose Bowl,male,Southern Brave,field,Oval Invincibles,Southern Brave,6 wickets
29,2021-08-17,Birmingham Phoenix,Northern Superchargers,Leeds,Headingley,male,Birmingham Phoenix,field,Northern Superchargers,Birmingham Phoenix,8 wickets
