match_id,player_name,balls_faced,runs_scored,out,catches
142,AJ Freeborn,10,5,1,1
142,CL Tryon,3,3,0,0
142,DN Wyatt,35,43,1,0
142,E Jones,19,21,1,1
142,EA Burns,21,29,1,1
142,EL Arlott,4,6,0,0
142,GL Adams,11,9,1,0
142,HL Baker,2,1,1,0
142,KA Levick,1,2,0,0
142,M Brown,3,7,0,0
142,ME Bouchier,19,19,1,0
142,S Mandhana,34,39,1,0
142,SFM Devine,2,4,1,1
142,SL Kalis,22,20,1,0
142,T Flintoff,2,0,1,0
143,A Wellington,19,22,1,0
143,BF Smith,19,28,1,1
143,DJS Dottin,27,30,1,1
143,EL Lamb,7,2,1,1
143,FMK Morris,4,1,1,1
143,KL George,13,14,0,0
143,L Lee,27,44,0,0
143,L Wolvaardt,32,23,1,0
143,NR Sciver,18,33,0,0
143,S Ecclestone,3,5,0,0
144,AC Kerr,33,60,2,0
144,AN Davidson-Richards,4,4,1,1
144,BAM Heath,9,18,1,1
144,CE Dean,5,4,0,0
144,DR Gibson,17,24,1,0
144,G Wareham,11,19,0,0
144,GM Harris,7,5,1,1
144,HC Knight,17,13,0,0
144,HJ Armitage,4,1,1,1
144,JI Rodrigues,22,30,1,0
144,KL Cross,12,15,0,0
144,M Kelly,8,5,1,1
144,N Holland,4,2,1,0
144,P Litchfield,34,38,1,1
144,RM Ghosh,15,21,1,1
144,S Glenn,4,1,1,1
145,A King,1,2,0,0
145,AE Jones,31,46,1,0
145,BF Smith,43,64,1,0
145,E Jones,20,20,1,0
145,EA Burns,17,16,1,1
145,EL Arlott,3,9,0,0
145,FC Wilson,19,22,1,0
145,H Kaur,8,5,1,0
145,J Gardner,10,7,1,1
145,L Lee,9,3,1,1
145,ND Dattani,3,2,0,0
145,NR Sciver,11,18,1,0
145,SFM Devine,25,28,1,1
145,SL Kalis,6,7,0,0
146,A Capsey,3,0,1,1
146,CL Griffith,1,1,0,0
146,DN Wyatt,15,7,1,0
146,FG Kemp,22,41,0,0
146,GL Adams,34,50,0,0
146,L Winfield,7,2,1,1
146,M Kapp,23,27,1,1
146,ME Bouchier,27,22,1,1
146,MK Villiers,1,1,0,0
146,N de Klerk,6,5,2,1
146,PJ Scholfield,18,30,1,1
146,S Mandhana,5,2,1,1
146,SW Bates,47,55,0,0
147,A Wellington,27,33,1,0
147,AN Davidson-Richards,27,27,1,1
147,BAM Heath,1,0,1,0
147,DJS Dottin,10,3,1,0
147,E Threlkeld,10,10,1,0
147,EL Lamb,2,4,1,1
147,FMK Morris,12,12,1,1
147,G Wareham,2,1,1,0
147,HJ Armitage,45,46,1,0
147,JI Rodrigues,15,19,1,0
147,KE Bryce,27,32,1,0
147,KL Cross,3,1,1,0
147,KL George,1,2,0,0
147,L Wolvaardt,11,8,1,0
147,LCN Smith,2,1,0,0
147,LF Higham,1,3,0,0
147,M Kelly,2,2,1,1
147,P Litchfield,6,1,1,0
147,S Ecclestone,1,1,0,0
148,AC Kerr,6,5,1,1
148,DR Gibson,7,18,1,0
148,G Scrivens,14,22,0,0
148,GM Harris,10,10,1,0
148,HC Knight,28,34,1,0
148,HK Matthews,24,36,1,0
148,L Filer,5,4,0,0
148,L Harris,1,0,1,1
148,RM Ghosh,27,34,1,1
148,S Glenn,3,2,1,1
148,S Munro,3,0,1,1
148,SIR Dunkley,50,68,1,1
148,SJ Bryce,2,7,0,0
148,TT Beaumont,29,40,1,0
149,A Capsey,24,35,1,0
149,A King,4,7,1,0
149,A Stonehouse,7,16,0,0
149,BF Smith,8,9,1,1
149,CL Griffith,17,23,1,0
149,FC Wilson,2,2,0,0
149,H Kaur,13,9,1,0
149,J Gardner,6,8,2,0
149,KL Gordon,1,1,0,0
149,L Lee,34,61,0,0
149,L Winfield,2,0,1,0
149,M Kapp,14,9,1,0
149,MK Villiers,1,2,0,0
149,N de Klerk,26,51,0,0
149,ND Dattani,11,13,2,1
149,NR Sciver,17,21,1,0
149,PJ Scholfield,14,13,1,0
149,SW Bates,8,7,1,0
150,A Griffiths,5,8,0,0
150,BAM Heath,2,0,1,0
150,C Nicholas,3,3,0,0
150,FR Davies,15,8,1,1
150,G Wareham,6,9,0,0
150,GA Elwiss,15,13,1,1
150,HJ Armitage,6,4,1,0
150,HK Matthews,5,0,1,1
150,JI Rodrigues,16,14,1,0
150,L Harris,21,37,1,0
150,M Kelly,47,69,0,0
150,P Litchfield,26,40,1,0
