match_id,innings,ball_no,batting_team,bowling team,batter,bowler,non_batter,runs,extras,extra_type,total_runs,wicket,how_out,catcher
1,1,81,Oval Invincibles,Manchester Originals,TK Curran,CR Brathwaite,SW Billings,4,0,False,4,False,False,False
1,1,82,Oval Invincibles,Manchester Originals,TK Curran,CR Brathwaite,SW Billings,1,0,False,1,False,False,False
1,1,83,Oval Invincibles,Manchester Originals,SW Billings,CR Brathwaite,TK Curran,1,0,False,1,False,False,False
1,1,84,Oval Invincibles,Manchester Originals,TK Curran,CR Brathwaite,SW Billings,0,0,False,0,False,False,False
1,1,85,Oval Invincibles,Manchester Originals,TK Curran,CR Brathwaite,SW Billings,1,0,False,1,False,False,False
1,1,86,Oval Invincibles,Manchester Originals,SW Billings,FJ Klaassen,TK Curran,4,0,False,4,False,False,False
1,1,87,Oval Invincibles,Manchester Originals,SW Billings,FJ Klaassen,TK Curran,0,0,False,0,True,caught,JM Clarke
1,1,88,Oval Invincibles,Manchester Originals,NA Sowter,FJ Klaassen,TK Curran,4,0,False,4,False,False,False
1,1,89,Oval Invincibles,Manchester Originals,NA Sowter,FJ Klaassen,TK Curran,0,0,False,0,True,bowled,False
1,1,90,Oval Invincibles,Manchester Originals,S Mahmood,FJ Klaassen,TK Curran,0,0,False,0,False,False,False
1,1,91,Oval Invincibles,Manchester Originals,TK Curran,MW Parkinson,S Mahmood,2,0,False,2,False,False,False
1,1,92,Oval Invincibles,Manchester Originals,TK Curran,MW Parkinson,S Mahmood,2,0,False,2,False,False,False
1,1,93,Oval Invincibles,Manchester Originals,TK Curran,MW Parkinson,S Mahmood,0,0,False,0,False,False,False
1,1,94,Oval Invincibles,Manchester Originals,TK Curran,MW Parkinson,S Mahmood,1,0,False,1,False,False,False
1,1,95,Oval Invincibles,Manchester Originals,S Mahmood,MW Parkinson,TK Curran,1,0,False,1,False,False,False
1,1,96,Oval Invincibles,Manchester Originals,TK Curran,TW Hartley,S Mahmood,2,0,False,2,False,False,False
